,time,cum_sec,self_sec,calls,self_s_call,tot_s_call,namespace,class,function,definition
125,0.12,473.23,0.63,79814236.0,0.0,0.0,,AreaBuf,fill,AreaBuf<unsigned int>::fill(unsigned int const&)
126,0.12,473.86,0.63,72090750.0,0.0,0.0,,DeriveCtx,CtxMipFlag,DeriveCtx::CtxMipFlag(CodingUnit const&)
127,0.12,474.48,0.62,6859198.0,0.0,0.0,,IntraPrediction,initIntraPatternChTypeISP,"IntraPrediction::initIntraPatternChTypeISP(CodingUnit const&, CompArea const&, AreaBuf<short>&, bool)"
128,0.11,475.08,0.6,53370256.0,0.0,0.0,,CodingStructure,clearCUs,CodingStructure::clearCUs()
129,0.11,475.67,0.59,4017056.0,0.0,0.0,,,linTfCore,"void linTfCore<short>(short const*, int, short*, int, int, int, int, int, int, ClpRng const&, bool)"
130,0.11,476.26,0.59,288195657.0,0.0,0.0,,PU,isMIP,"PU::isMIP(PredictionUnit const&, ChannelType const&)"
131,0.1,476.8,0.54,3064126.0,0.0,0.0,,std,pair,"std::pair<long, long> fwdTransformCbCr<-3>(AreaBuf<short> const&, AreaBuf<short> const&, AreaBuf<short>&, AreaBuf<short>&)"
132,0.1,477.33,0.53,3051342.0,0.0,0.0,,IntraSearch,xIntraCodingLumaISP,"IntraSearch::xIntraCodingLumaISP(CodingStructure&, Partitioner&, double)"
133,0.1,477.86,0.53,102538026.0,0.0,0.0,,CodingStructure,getRecoBuf,CodingStructure::getRecoBuf(CompArea const&)
134,0.1,478.39,0.53,495286609.0,0.0,0.0,,CU,isIntra,CU::isIntra(CodingUnit const&)
135,0.1,478.91,0.52,3064126.0,0.0,0.0,,std,pair,"std::pair<long, long> fwdTransformCbCr<-1>(AreaBuf<short> const&, AreaBuf<short> const&, AreaBuf<short>&, AreaBuf<short>&)"
136,0.1,479.43,0.52,3790874.0,0.0,0.0,,CodingStructure,useSubStructure,"CodingStructure::useSubStructure(CodingStructure const&, ChannelType, UnitArea const&, bool, bool, bool, bool, bool)"
137,0.1,479.94,0.51,57291380.0,0.0,0.0,,TrQuant,getTrTypes,"TrQuant::getTrTypes(TransformUnit, ComponentID, int&, int&)"
138,0.1,480.45,0.51,32378400.0,0.0,0.0,,RdCost,getDistPart,"RdCost::getDistPart(AreaBuf<short const> const&, AreaBuf<short const> const&, int, ComponentID, DFunc, AreaBuf<short const> const*)"
139,0.1,480.95,0.5,26986204.0,0.0,0.0,,IntraSearch,xEncCoeffQT,"IntraSearch::xEncCoeffQT(CodingStructure&, Partitioner&, ComponentID, int, PartSplit, CUCtx*)"
140,0.1,481.45,0.5,25326293.0,0.0,0.0,,IntraPrediction,initIntraPatternChType,"IntraPrediction::initIntraPatternChType(CodingUnit const&, CompArea const&, bool)"
141,0.09,481.94,0.49,111097.0,0.0,0.0,,,fastInverseDST7_B32,"fastInverseDST7_B32(int const*, int*, int, int, int, int, int, int)"
142,0.09,482.43,0.49,19174919.0,0.0,0.0,,,,CodingUnit::operator=(CodingUnit const&)
143,0.09,482.91,0.48,61157.0,0.0,0.0,,AlfCovariance,optimizeFilter,"AlfCovariance::optimizeFilter(AlfFilterShape const&, int*, double*, bool) const"
144,0.09,483.39,0.48,36279230.0,0.0,0.0,,UnitArea,singleChan,UnitArea::singleChan(ChannelType) const
145,0.09,483.87,0.48,1083969.0,0.0,0.0,,BestEncInfoCache,isValid,"BestEncInfoCache::isValid(CodingStructure const&, Partitioner const&, int)"
146,0.09,484.35,0.48,1.0,0.48,0.56,DQIntern,Rom,xInitScanArrays,DQIntern::Rom::xInitScanArrays()
147,0.09,484.82,0.47,,,,,BitEstimatorBase,restart,BitEstimatorBase::restart()
148,0.09,485.28,0.46,3876376.0,0.0,0.0,,EncModeCtrlMTnoRQT,tryMode,"EncModeCtrlMTnoRQT::tryMode(EncTestMode const&, CodingStructure const&, Partitioner&)"
149,0.09,485.74,0.46,32410353.0,0.0,0.0,,AreaBuf,reconstruct,"AreaBuf<short>::reconstruct(AreaBuf<short const> const&, AreaBuf<short const> const&, ClpRng const&)"
150,0.09,486.2,0.46,7261967.0,0.0,0.0,,AreaBuf,fill,AreaBuf<short>::fill(short const&)
151,0.09,486.66,0.46,360890856.0,0.0,0.0,,PreCalcValues,getValIdx,"PreCalcValues::getValIdx(Slice const&, ChannelType) const"
152,0.09,487.11,0.45,110938.0,0.0,0.0,,,fastForwardDST7_B32,"fastForwardDST7_B32(int const*, int*, int, int, int, int)"
153,0.09,487.56,0.45,7421848.0,0.0,0.0,,,fastForwardDST7_B4,"fastForwardDST7_B4(int const*, int*, int, int, int, int)"
154,0.09,488.01,0.45,23057333.0,0.0,0.0,,CABACWriter,mts_idx,"CABACWriter::mts_idx(CodingUnit const&, CUCtx*)"
155,0.08,488.45,0.44,3012458.0,0.0,0.0,,RdCost,xGetSSE16,RdCost::xGetSSE16(DistParam const&)
156,0.08,488.89,0.44,507789.0,0.0,0.0,,,fastInverseDCT2_B32,"fastInverseDCT2_B32(int const*, int*, int, int, int, int, int, int)"
157,0.08,489.33,0.44,19174919.0,0.0,0.0,,,,PredictionUnit::operator=(PredictionUnit const&)
158,0.08,489.75,0.43,193666677.0,0.0,0.0,,PU,getFinalIntraMode,"PU::getFinalIntraMode(PredictionUnit const&, ChannelType const&)"
159,0.08,490.17,0.42,27767435.0,0.0,0.0,DQIntern,DepQuant,dequant,"DQIntern::DepQuant::dequant(TransformUnit const&, AreaBuf<int>&, ComponentID, QpParam const&, bool, int*)"
160,0.07,490.56,0.39,,,,,TUIntraSubPartitioner,canSplit,"TUIntraSubPartitioner::canSplit(CodingStructure const&, bool&, bool&, bool&, bool&, bool&, bool&)"
161,0.07,490.93,0.37,22811570.0,0.0,0.0,,TransformUnit,copyComponentFrom,"TransformUnit::copyComponentFrom(TransformUnit const&, ComponentID)"
